"Date","Name","Type","Moving Time","Distance (km)","Elevation Gain (m)","Avg Moving Speed (kph)","Avg Pace (/km)","Calories","Best 20min Speed (kph)","Best 20min Pace (/km)","Avg HR (bpm)","HRSS","HRSS / h","Cadence Avg Moving (rpm or spm)","Avg Watts (w)","Avg Watts / Kilograms (w/kg)","Best 20min Power (w)","Power Stress Score","Power Stress Score / h"
"2019-12-01T13:17:10-05:00","Watopia","VirtualRide","01:11:26","43.3","355","36.4","01:38","854","39.4","01:31","163","100","84","-","209","2.98","231","-","0"
"2019-11-30T14:30:19-05:00","Giro di Castelli // Stage 2 (A)","VirtualRide","01:08:02","46.3","292","40.9","01:28","926","43.3","01:23","162","112","98","-","232","3.32","250","-","0"
"2019-11-29T12:45:50-05:00","Black Friday Fondo","Ride","03:26:55","105.4","1074","30.3","01:58","2739","35.9","01:40","148","197","57","88","175","2.49","198","-","0"
"2019-11-28T14:00:21-05:00","Fondo frustrado","Ride","01:16:39","45.1","465","20.1","02:59","1041","33.8","01:46","136","97","46","83","188","2.69","219","-","0"
"2019-11-27T20:27:18-05:00","London","VirtualRide","01:36:56","53.1","490","32.9","01:49","1106","37.2","01:36","158","119","73","-","199","2.84","222","-","0"
"2019-11-25T10:24:19-05:00","Richmond","VirtualRide","01:21:54","46.1","304","33.8","01:46","851","38.4","01:33","148","79","58","-","181","2.59","233","-","0"
"2019-11-24T15:34:20-05:00","Afternoon Ride","Ride","01:47:12","55.5","634","29.9","02:00","1420","34.2","01:45","147","105","56","90","189","2.7","214","-","0"
"2019-11-23T15:59:13-05:00","11111.1","VirtualRide","01:14:01","39.7","597","32.1","01:52","836","35.9","01:40","153","80","65","-","197","2.82","227","-","0"
"2019-11-22T21:29:14-05:00","Innsbruck","VirtualRide","01:00:14","27.4","525","27.3","02:11","663","42.6","01:24","156","74","73","-","192","2.74","232","-","0"
"2019-11-21T13:10:23-05:00","Full power","Ride","00:55:55","31","405","32.5","01:50","882","35.4","01:41","161","76","80","93","234","3.35","250","-","0"
"2019-11-20T15:50:09-05:00","Afternoon Ride","Ride","01:08:23","35.3","490","30.7","01:57","924","35.2","01:42","150","71","61","92","198","2.82","223","-","0"
"2019-11-19T14:00:40-05:00","Afternoon Ride","Ride","02:20:56","68.5","864","28.7","02:05","1648","34.3","01:44","142","118","49","88","172","2.46","202","-","0"
"2019-11-18T20:58:11-05:00","London","VirtualRide","01:50:05","48.1","1001","26.2","02:17","1248","34.5","01:44","-","-","-","-","198","2.83","234","-","0"
"2019-11-17T15:52:41-05:00","Perseguido","Ride","01:44:02","48","644","27.7","02:10","1101","31.5","01:54","-","-","-","88","158","2.25","181","-","0"
"2019-11-15T20:07:14-05:00","Yorkshire","VirtualRide","00:54:54","28.2","495","30.9","01:56","638","34.4","01:44","-","-","-","-","203","2.9","219","-","0"
"2019-11-15T11:57:30-05:00","Yorkshire","VirtualRide","01:00:54","33.1","562","32.6","01:50","747","36.6","01:38","-","-","-","-","214","3.05","253","-","0"
"2019-11-13T22:18:03-05:00","Everything Bagel","VirtualRide","01:12:13","36.6","566","30.4","01:58","813","36","01:39","-","-","-","-","196","2.8","212","-","0"
"2019-11-12T18:15:12-05:00","Velocious Sport Tue Night Criterium (Race) (B)","VirtualRide","01:08:32","41.4","244","36.3","01:39","871","42.9","01:23","-","-","-","-","204","2.92","271","-","0"
"2019-11-11T16:24:56-05:00","Afternoon Ride","Ride","01:05:00","35.3","454","31.9","01:52","932","34.5","01:44","-","-","-","94","213","3.05","234","-","0"
"2019-11-10T11:35:04-05:00","Montaña Piloto","Ride","02:57:05","80.5","1187","26.7","02:15","1977","33.6","01:47","-","-","-","87","166","2.38","250","-","0"
"2019-11-09T11:46:00-05:00","NCCX 2019 - Race #7","Ride","00:04:46","1.3","13","12.9","04:39","22","-","-","-","-","-","67","82","1.17","-","-","0"
"2019-11-09T20:10:15-05:00","3R Volcano Circuit Flat Race - 4 Laps (18.9km/11.7mi 80m) (B)","VirtualRide","01:25:01","50.2","254","35.4","01:41","1038","40.3","01:29","-","-","-","-","203","2.9","276","-","0"
"2019-11-08T16:10:22-05:00","Chilleándola","Ride","00:58:05","6.5","97.2","5.2","11:35","243","5.9","10:13","-","-","-","-","93","1.33","99","-","0"
"2019-11-08T10:23:44-05:00","Emily's Short Mix","VirtualRide","01:11:38","42.4","166","35.5","01:41","872","38.9","01:32","171","122","102","-","212","3.03","265","-","0"
"2019-11-06T19:33:41-05:00","i2x15:Z4/10","VirtualRide","01:25:33","50.2","140","35.2","01:42","967","39.2","01:31","162","122","85","-","197","2.82","251","-","0"
"2019-11-05T12:47:39-05:00","Juerte","Ride","01:15:47","40.6","461","31.5","01:54","1146","33.2","01:48","158","96","74","95","202","2.88","217","-","0"
"2019-11-03T15:06:44-05:00","Afternoon Ride","Ride","01:53:12","55.6","632","29.1","02:03","1496","33.5","01:47","149","118","62","92","172","2.45","214","-","0"
"2019-11-02T21:53:50-04:00","i5x5:Z5/5","VirtualRide","01:30:29","53.3","80","35.3","01:41","1022","38.7","01:33","159","140","93","-","197","2.82","243","-","0"
"2019-11-01T16:35:43-04:00","Afternoon Ride","Ride","01:31:42","45.8","538","29","02:03","1174","33","01:48","147","90","56","89","182","2.6","197","-","0"
"2019-10-30T18:45:32-04:00","Más Watopia | Zwift","VirtualRide","01:27:53","50.1","202","34.2","01:45","978","36.6","01:38","160","121","83","-","194","2.77","224","-","0"
"2019-10-29T20:57:01-04:00","Explorando Watopia | Zwift","VirtualRide","01:45:27","50.4","655","28.7","02:05","1076","40.1","01:29","171","180","103","-","178","2.54","218","-","0"
"2019-10-27T11:46:33-04:00","NCCX 2019 - Race #5","Ride","00:32:10","7.1","105","13.2","04:33","628","13.7","04:23","187","78","146","70","87","1.25","93","-","0"
"2019-10-26T14:55:08-04:00","Maldito semestre","Ride","02:01:28","60.7","730","29.9","02:00","1728","36.3","01:39","155","145","72","94","172","2.46","213","-","0"
"2019-10-20T16:01:05-04:00","Recovery","Ride","01:27:58","41.4","490","28.1","02:08","1000","31.5","01:54","141","70","47","90","146","2.09","171","-","0"
"2019-10-19T13:02:36-04:00","Los 10000k!","Ride","02:57:23","90.3","1051","30.4","01:58","2484","38.2","01:34","152","192","65","95","179","2.55","217","-","0"
"2019-10-18T17:00:12-04:00","Robando KOM's","Ride","01:44:51","50.8","608","28.9","02:04","1270","34","01:45","145","97","55","90","166","2.37","216","-","0"
"2019-10-16T15:37:31-04:00","Suave","Ride","01:42:57","46.3","589","26.8","02:14","880","31.2","01:55","131","66","38","88","136","1.94","180","-","0"
"2019-10-15T15:14:05-04:00","Tratando de olvidar la cogida del examen","Ride","01:47:13","56.5","582","31.5","01:54","1433","34.4","01:44","149","106","59","95","183","2.61","207","-","0"
"2019-10-13T16:30:34-04:00","Rodillo por lluvia","Ride","01:25:24","45","0","31.9","01:52","1300","33.8","01:46","159","110","78","90","182","2.6","204","-","0"
"2019-10-12T14:35:52-04:00","Hanging Rock","Ride","03:52:18","110","1566","28.2","02:07","3242","35.5","01:41","153","265","68","93","165","2.36","248","-","0"
"2019-10-11T11:29:03-04:00","Corriendo porque no tenía bici","Run","00:52:58","10.1","100","11.4","05:15","728","11.7","05:07","178","107","121","-","210","3","216","-","0"
"2019-10-09T16:24:49-04:00","Rodando","Ride","02:05:24","60.3","617","28.5","02:06","1529","33.3","01:48","144","109","51","93","153","2.19","173","-","0"
"2019-10-08T18:11:33-04:00","NY | Zwift","VirtualRide","01:25:29","35.7","766","25.1","02:23","919","32.1","01:52","144","84","59","-","187","2.67","214","-","0"
"2019-10-06T14:03:47-04:00","Afternoon Ride","Ride","01:03:46","32.5","292","30.6","01:57","867","34.7","01:43","150","64","60","95","175","2.5","202","-","0"
"2019-10-05T15:39:57-04:00","Empieza el frío","Ride","01:46:19","50.6","574","28.3","02:07","1365","31.1","01:55","147","102","57","92","171","2.45","200","-","0"
"2019-10-04T17:30:13-04:00","Found God in a Tomato","Ride","01:41:18","50.6","564","29.9","02:00","1465","34","01:45","155","120","71","92","172","2.46","226","-","0"
"2019-10-04T00:20:00-04:00","Complimentary calisthenics","Workout","01:00:00","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2019-10-02T17:13:40-04:00","Cross","Ride","01:28:40","20.1","232","11.5","05:12","1160","13.8","04:21","145","100","57","-","89","1.28","96","-","0"
"2019-10-01T16:56:05-04:00","Afternoon Ride","Ride","01:18:28","40.6","437","30.6","01:57","1180","35.1","01:42","158","102","76","95","178","2.54","220","-","0"
"2019-09-29T16:11:25-04:00","Recuperando","Ride","02:06:45","62.7","665","29.3","02:02","1965","32.6","01:50","161","179","83","93","158","2.25","204","-","0"
"2019-09-28T16:54:09-04:00","Hecho una desgracia por haber corrido","Ride","01:57:14","50.2","495","24.9","02:24","1071","28.5","02:06","131","77","38","88","120","1.71","158","-","0"
"2019-09-27T10:35:42-04:00","Pagándola","Ride","01:11:01","32.5","300","27.1","02:12","813","31","01:56","140","56","47","89","129","1.84","151","-","0"
"2019-09-26T16:28:05-04:00","Hit the Bricks 2019","Run","01:00:46","11.1","0","11","05:28","1079","12.2","04:55","184","139","137","-","199","2.85","224","-","0"
"2019-09-25T16:52:37-04:00","Poniéndome serio: power meter","Ride","01:14:51","40.6","447","30.7","01:57","1177","35.1","01:42","161","108","81","92","185","2.65","213","-","0"
"2019-09-24T16:03:28-04:00","Bethania - Tobaccoville - Lewisville","Ride","01:54:13","60.4","616","31","01:56","1699","34.6","01:43","156","139","71","94","185","2.65","207","-","0"
